68,ali cox,website,2018-03-16 6:55:00,2018-03-16 15:02:00,8:07,
69,gumgum,jeep,2018-03-16 8:15:00,2018-03-16 8:27:00,0:12,
70,gumgum,infiniti,2018-03-19 13:55:00,2018-03-19 14:45:00,0:50,
71,gumgum,toyota 4runner,2018-03-19 7:00:00,2018-03-19 7:49:00,0:49,
72,e360,website pre production,2018-03-19 7:50:00,2018-03-19 13:55:00,6:05,
73,jenjil,website,2018-03-02 10:41:00,2018-03-02 10:45:00,0:04,
74,ami,seo,2018-03-02 10:47:00,2018-03-02 11:34:00,0:47,
75,jenjil,certs,2018-03-02 11:47:00,2018-03-02 14:33:00,2:46,
76,jenjil,website,2018-03-02 7:28:00,2018-03-02 8:33:00,1:05,
77,e360,landing page,2018-03-02 8:33:00,2018-03-02 10:41:00,2:08,
78,gumgum,infiniti,2018-03-20 11:24:00,2018-03-20 14:16:00,2:52,
79,gc,email,2018-03-20 6:26:00,2018-03-20 6:57:00,0:31,
80,vhr,add video,2018-03-20 6:58:00,2018-03-20 7:04:00,0:06,vhr March
81,jkb,updates,2018-03-20 7:05:00,2018-03-20 7:33:00,0:28,
82,e360,style guide,2018-03-20 7:33:00,2018-03-20 11:05:00,3:32,
83,gc,email,2018-03-21 10:20:00,2018-03-21 11:01:00,0:41,
84,gumgum,infiniti,2018-03-21 11:02:00,2018-03-21 11:43:00,0:41,
85,jkb,updates,2018-03-21 11:45:00,2018-03-21 12:46:00,1:01,
86,jkb,updates,2018-03-21 13:57:00,2018-03-21 14:17:00,0:20,
87,gumgum,toyota tcuv,2018-03-21 6:42:00,2018-03-21 10:40:00,3:58,
88,pennyroyal,demo,2018-03-22 10:30:00,2018-03-22 11:15:00,0:45,
89,gumgum,mitsubishi,2018-03-22 11:23:00,2018-03-22 12:25:00,1:02,
90,gc,new template,2018-03-22 12:25:00,2018-03-22 13:25:00,1:00,
91,gumgum,infiniti,2018-03-22 14:48:00,2018-03-22 15:00:00,0:12,
92,gumgum,toyota,2018-03-22 13:30:00,2018-03-22 14:48:00,1:18,
93,gc,newsletter,2018-03-22 7:00:00,2018-03-22 7:30:00,0:30,
94,curious creamery,updates,2018-03-22 7:30:00,2018-03-22 7:32:00,0:02,
95,gc,new template,2018-03-22 8:02:00,2018-03-22 9:02:00,1:00,
96,e360,demo,2018-03-22 9:02:00,2018-03-22 10:32:00,1:30,
97,taxes,ftb pf,2018-03-23 10:10:00,2018-03-23 10:47:00,0:37,
98,gumgum,toyota,2018-03-23 10:50:00,2018-03-23 11:29:00,0:39,
99,gumgum,infiniti,2018-03-23 11:29:00,2018-03-23 12:24:00,0:55,
100,gc,email,2018-03-23 12:25:00,2018-03-23 12:31:00,0:06,GC March
101,jkb,updates,2018-03-23 13:20:00,2018-03-23 15:00:00,1:40,jkb march
102,gumgum,toyota tcuv,2018-03-23 13:07:00,2018-03-23 13:19:00,0:12,
103,acc,website,2018-03-23 15:00:00,2018-03-23 15:41:00,0:41,
104,gumgum,toyota tcuv,2018-03-23 8:28:00,2018-03-23 8:40:00,0:12,
105,gc,email,2018-03-23 8:40:00,2018-03-23 8:53:00,0:13,
106,ets,ca state ,2018-03-23 8:54:00,2018-03-23 10:10:00,1:16,
107,TPL,updates,2018-03-26 10:04:00,2018-03-26 10:09:00,0:05,
108,ets,cadoj,2018-03-26 10:09:00,2018-03-26 10:24:00,0:15,
109,jenjil,IE 11 Fixes,2018-03-26 10:24:00,2018-03-26 11:25:00,1:01,
110,e360,website desifn,2018-03-26 14:35:00,2018-03-26 14:49:00,0:14,
111,gumgum,mitsubishi,2018-03-26 7:33:00,2018-03-26 9:49:00,2:16,
112,gumgum,toyota denver,2018-03-26 9:49:00,2018-03-26 10:03:00,0:14,
113,gumgum,infiniti,2018-03-27 11:07:00,2018-03-27 11:26:00,0:19,
114,gumgum ,toyota denver,2018-03-27 11:26:00,2018-03-27 12:00:00,0:34,
115,gumgum,mitsubishi,2018-03-27 12:01:00,2018-03-27 13:58:00,1:57,
116,ami,seo,2018-03-27 14:14:00,2018-03-27 15:08:00,0:54,
117,pf,orders,2018-03-27 6:40:00,2018-03-27 7:10:00,0:30,
118,evk,add recipes,2018-03-27 8:00:00,2018-03-27 10:58:00,2:58,
119,simpleLegal,call,2018-03-28 12:30:00,2018-03-28 13:08:00,0:38,
120,gumgum,mitsubishi,2018-03-28 13:08:00,2018-03-28 15:08:00,2:00,
121,psi,audit,2018-03-28 15:08:00,2018-03-28 15:36:00,0:28,
122,gumgum,infiniti,2018-03-28 6:45:00,2018-03-28 7:29:00,0:44,
123,gumgum,mitsubishi,2018-03-28 7:32:00,2018-03-28 12:30:00,4:58,
124,evk,website review,2018-03-29 10:02:00,2018-03-29 10:53:00,0:51,
125,jenjil,bios,2018-03-29 11:22:00,2018-03-29 11:41:00,0:19,JenJil March
126,simple legal,email,2018-03-29 13:29:00,2018-03-29 15:55:00,2:26,
127,gumgum,mitsubishi,2018-03-29 6:34:00,2018-03-29 8:09:00,1:35,
128,valley select,logo,2018-03-29 8:10:00,2018-03-29 9:27:00,1:17,
129,jenjil,bios,2018-03-29 9:38:00,2018-03-29 10:02:00,0:24,
130,ets,ceu,2018-03-30 11:42:00,2018-03-30 12:26:00,0:44,
131,pf,service and orders,2018-03-30 8:06:00,2018-03-30 8:21:00,0:15,
132,simple legal,email,2018-03-30 8:24:00,2018-03-30 8:36:00,0:12,
133,jbyer,monthly billing,2018-03-30 8:37:00,2018-03-30 8:50:00,0:13,
134,bootstrap,native,2018-03-30 8:50:00,2018-03-30 9:04:00,0:14,
135,gumgum,mitsubishi,2018-03-30 9:04:00,2018-03-30 10:38:00,1:34,
136,ami,seo,2018-03-05 12:05:00,2018-03-05 13:37:00,1:32,
137,jenjil,certs,2018-03-05 13:37:00,2018-03-05 14:06:00,0:29,
138,e360,reply,2018-03-05 14:08:00,2018-03-05 14:40:00,0:32,
139,pf,orders,2018-03-05 6:42:00,2018-03-05 6:50:00,0:08,
140,jenjil,updates,2018-03-05 6:50:00,2018-03-05 12:05:00,5:15,
141,jenjil,walkthrough ,2018-03-06 10:20:00,2018-03-06 12:24:00,2:04,
142,ets,updates,2018-03-06 12:46:00,2018-03-06 14:19:00,1:33,
143,jenjil,updates,2018-03-06 6:15:00,2018-03-06 10:05:00,3:50,
144,q2,call,2018-03-07 10:30:00,2018-03-07 11:00:00,0:30,
145,ami,adwords,2018-03-07 11:00:00,2018-03-07 12:32:00,1:32,
146,gc,email,2018-03-07 12:32:00,2018-03-07 12:59:00,0:27,
147,allstar,research billing,2018-03-07 13:27:00,2018-03-07 14:19:00,0:52,
148,grimbleby,software construction,2018-03-07 6:16:00,2018-03-07 6:35:00,0:19,
149,self,new instructor,2018-03-07 7:22:00,2018-03-07 7:31:00,0:09,
150,ami,adwords,2018-03-07 7:32:00,2018-03-07 9:00:00,1:28,
151,ets,call,2018-03-07 9:00:00,2018-03-07 9:44:00,0:44,
152,ami,adwords,2018-03-07 9:44:00,2018-03-07 10:30:00,0:46,
153,ets,ca state ,2018-03-08 10:18:00,2018-03-08 12:26:00,2:08,
154,ami,adwords,2018-03-08 13:00:00,2018-03-08 13:32:00,0:32,
155,gumgum,jeep,2018-03-08 13:53:00,2018-03-08 14:02:00,0:09,
156,ami,adwords,2018-03-08 14:15:00,2018-03-08 15:25:00,1:10,
157,q2,email,2018-03-08 6:22:00,2018-03-08 7:03:00,0:41,
158,jkb,apt but,2018-03-08 7:04:00,2018-03-08 7:09:00,0:05,
159,ets ,ca state ,2018-03-08 8:02:00,2018-03-08 9:00:00,0:58,
160,ami,adwords,2018-03-08 9:00:00,2018-03-08 10:18:00,1:18,
161,ami,adwords,2018-03-09 10:25:00,2018-03-09 11:39:00,1:14,
162,gumgum,sc honda,2018-03-09 11:39:00,2018-03-09 11:45:00,0:06,
163,ami,adwords,2018-03-09 11:45:00,2018-03-09 12:22:00,0:37,
164,gumgum,honda,2018-03-09 12:23:00,2018-03-09 13:54:00,1:31,
165,ami,adwords,2018-03-09 6:15:00,2018-03-09 7:50:00,1:35,
166,ets,castate,2018-03-09 7:56:00,2018-03-09 8:26:00,0:30,
167,gumgum,honda,2018-03-09 8:30:00,2018-03-09 9:15:00,0:45,
168,pf,orders,2018-04-10 12:49:00,2018-04-10 13:05:00,0:16,
169,self,nutrition,2018-04-10 13:05:00,2018-04-10 13:10:00,0:05,
170,jbyer,bootstrap,2018-04-10 13:10:00,2018-04-10 16:02:00,2:52,
